movie,moviepage,overview,posterpath,tagline
Paris Is Burning - 1990,https://www.themoviedb.org/movie/31225,"A chronicle of New York City's drag scene in the 1980s, focusing on balls, voguing and the ambitions and dreams of those who gave the era its warmth and vitality.",https://image.tmdb.org/t/p/original/UeNcbdtVcBZk0ggUBVaXwO2Dbe.jpg,Having a ball... Wish you were here
The Fifth Element - 1997,https://www.themoviedb.org/movie/18,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",https://image.tmdb.org/t/p/original/zaFa1NRZEnFgRTv5OVXkNIZO78O.jpg,There is no future without it.
Weird Science - 1985,https://www.themoviedb.org/movie/11814,"Two unpopular teenagers, Gary and Wyatt, fail at all attempts to be accepted by their peers. Their desperation to be liked leads them to ""create"" a woman via their computer. Their living and breathing creation is a gorgeous woman, Lisa, whose purpose is to boost their confidence level by putting them into situations which require Gary and Wyatt to act like men.",https://image.tmdb.org/t/p/original/36hDdzUfePCrjhOAskfC9tBnEbS.jpg,"If you can't get a date, make one!"
Best in Show - 2000,https://www.themoviedb.org/movie/13785,"The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds of eager contestants from across America prepare to take part in what is undoubtedly one of the greatest events of their lives -- the Mayflower Dog Show. The canine contestants and their owners are as wondrously diverse as the great country that has bred them.",https://image.tmdb.org/t/p/original/rDoVUVT5CGkraBjEukfBTHsxBN9.jpg,Some pets deserve a little more respect than others.
Kung Fu Hustle - 2004,https://www.themoviedb.org/movie/9470,"Set in Canton, China in the 1940s, the story revolves in a town ruled by the Axe Gang, Sing who desperately wants to become a member. He stumbles into a slum ruled by eccentric landlords who turns out to be the greatest kung-fu masters in disguise. Sing's actions eventually cause the Axe Gang and the slumlords to engage in an explosive kung-fu battle. Only one side will win and only one hero will emerge as the greatest kung-fu master of all.",https://image.tmdb.org/t/p/original/18BmJuz8LgY5GyiRO6H16hN7iWP.jpg,So many gangsters...so little time.
Fight Club - 1999,https://www.themoviedb.org/movie/550,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",https://image.tmdb.org/t/p/original/adw6Lq9FiC9zjYEpOqfq03ituwp.jpg,Mischief. Mayhem. Soap.
Joy Ride - 2001,https://www.themoviedb.org/movie/10866,"Three young people on a road trip from Colorado to New Jersey talk to a trucker on their CB radio, then must escape when he turns out to be a psychotic killer.",https://image.tmdb.org/t/p/original/q8y2T2LvJV0mvia1RA9pS1K33GR.jpg,"It was just a joke, just for fun."
Mulholland Drive - 2001,https://www.themoviedb.org/movie/1018,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.",https://image.tmdb.org/t/p/original/tVxGt7uffLVhIIcwuldXOMpFBPX.jpg,An actress longing to be a star. A woman searching for herself. Both worlds will collide... on Mulholland Drive.
Ciao! Manhattan - 1973,https://www.themoviedb.org/movie/42479,"The very sad tale of socialite & Warhol muse Edie Sedgwick (1943-1971) who effectively plays herself in a film that follows her life in a large part from the time she left Warhol's 'factory' and what the life of excess drugs did to her sanity. Edie was such a beautiful fragile girl - who finally got her head together and got married (her wedding day video is edited into the end of the movie) but it was too late, her husband woke up on a morning in November 1971, only weeks after filming wrapped, and found her dead beside him. She had died in her sleep from overdosing on her medication she was 28.",https://image.tmdb.org/t/p/original/vwqnH6omAWc7EVBSGSikrCddEzM.jpg,
Full Frame: Documentary Shorts - 1999,,,,
Boycott - 2001,https://www.themoviedb.org/movie/205361,"This made-for-TV movie dramatizes the historic boycott of public buses in the 1950s, led by civil rights leader Dr. Martin Luther King, Jr.",https://image.tmdb.org/t/p/original/pk7u9Pvm5e8Zef2UiosM3aDi5Z6.jpg,The Story of Martin Luther King and One Act of Defiance That Changed a Nation
Viva La Bam: Season 1 - 2003,,,,
GTO: Great Teacher Onizuka: Set 2 - 1998,,,,
Blue Seed: Beyond - 2003,,,,
Futurama: Monster Robot Maniac Fun Collection - 1999,,,,
Batman the Animated Series: Vol. 3 - 1993,,,,
Xena: Warrior Princess: Season 3 - 1995,,,,
Mitch Hedberg: Mitch All Together - 2003,https://www.themoviedb.org/movie/50766,"Mitch All Together is stand-up comedian Mitch Hedberg's second comedy album before his death in 2005. It is a recording of a performance at the Acme Comedy Club in Minneapolis, Minnesota from May 2003.",https://image.tmdb.org/t/p/original/AJ8ZGqOn8z2p48A7K0eCTVKRmt.jpg,
Maurice: Bonus Material - 1987,,,,
Foyle's War: Set 2 - 2003,,,,
A Touch of Frost: Seasons 7 & 8 - 2003,,,,
Earth 2: The Complete Series - 1994,,,,
Read Or Die - 2003,,,,
Dave Chappelle: For What It's Worth - 2004,https://www.themoviedb.org/movie/20147,"Comedian Dave Chappelle does what he does best in this outrageous and hilarious standup performance, which allows him to push the envelope far beyond what he does on his TV show. Taped in San Francisco at the famed Fillmore, Chappelle lets loose on such topics as black celebrities, what it's like to have raunchy fans of his TV show approach him while he's trying to enjoy Disneyland with his kids, Michael Jackson, Kobe Bryant... and crackheads, of course.  It's comedy Chappelle-style and, for what it's worth, no one is safe from his barbs. But you already knew that!",https://image.tmdb.org/t/p/original/lWkTkdA4atyfDZgZ6tiLoFOc0mk.jpg,
Yojimbo - 1961,https://www.themoviedb.org/movie/11878,"A nameless ronin, or samurai with no master, enters a small village in feudal Japan where two rival businessmen are struggling for control of the local gambling trade. Taking the name Sanjuro Kuwabatake, the ronin convinces both silk merchant Tazaemon and sake merchant Tokuemon to hire him as a personal bodyguard, then artfully sets in motion a full-scale gang war between the two ambitious and unscrupulous men.",https://image.tmdb.org/t/p/original/tN7kYPjRhDolpui9sc9Eq9n5b2O.jpg,Better if all these men were dead. Think about it!
Challenge of the Superfriends: Attack of the Legion of Doom - 1978,,,,
Campion: Look to the Lady - 1989,,,,
Midori Days - 2005,,,,
Empires: Martin Luther - 2002,,,,
Stargate SG-1: Season 2 - 1998,,,,
Aradhana - 1969,https://www.themoviedb.org/movie/96732,"Vandana and Arun fall in love the instant they meet. On a trip to a Shiv temple, they get married in an impromptu ceremony in front of God. A chance rainshower strands them at a remote hotel where Vandana gets pregnant. With their legal marriage just around the corner, they don't worry about the consequences of their actions, but unfortunately, Arun dies in a plane crash. Vandana chooses to have the child, Suraj, and as she promised to Arun, wants to raise him to be an Air Force pilot. Fate is cruel to Vandana, however, and the child is adopted by a wealthy family. Vandana becomes a nursemaid to stay close to Suraj. A family member tries to molest her, and in the ensuing fight, Suraj comes to protect her and kills the perpetrator. Vandana chooses a jail sentence to save Suraj, but in the course of her sentence, loses the family--and with it: Suraj. Now what will Vandana do? To find out, watch Aradhana. Written by bollykm",https://image.tmdb.org/t/p/original/c7WMqbDjDW91LizIQ2hxgk7KHaU.jpg,
FLCL - 2000,,,,
Black Adder - 1983,,,,
J.R.R. Tolkien and the Birth of The Lord of the Rings - 2004,,,,
The Clash: Westway to the World - 2000,https://www.themoviedb.org/movie/41449,"A 2000 documentary film about the British punk rock band The Clash. In 2003 it won the Grammy Awards for the best long form music video. Directed by Don Letts, the film combines old footage from the band's personal collection filmed in 1982 when The Clash went to New York with new interviews conducted for the film by Mal Peachey of members Mick Jones, Paul Simonon, Topper Headon, and Joe Strummer and other people associated with the group.",https://image.tmdb.org/t/p/original/ap7cr5bQGEwikREHOwNyi39oljJ.jpg,
The Real McCoys - 1957,,,,
The Importance of Being Earnest - 1952,https://www.themoviedb.org/movie/20324,"Algernon Moncrieff is surprised to discover that his affluent friend -- whom he knows as ""Ernest"" -- is actually named Jack Worthing. Jack fabricated his alter ego in order to escape his country estate where he takes care of his charge, Cecily Cardew. Cecily believes that Ernest is Jack's wayward brother and is keen on his raffish lifestyle. Algernon, seeing an opportunity, assumes Ernest's identity and sneaks off to woo Cecily.",https://image.tmdb.org/t/p/original/ahHp1nOjLTWBdLCofxjLYMVqqgs.jpg,"They don't come any wilder than Oscar Wilde's classic comedy of manners, morals and morality!"
The Twilight Samurai - 2002,https://www.themoviedb.org/movie/12496,"Seibei Iguchi leads a difficult life as a low ranking samurai at the turn of the nineteenth century. A widower with a meager income, Seibei struggles to take care of his two daughters and senile mother. New prospects seem to open up when the beautiful Tomoe, a childhood friend, comes back into he and his daughters' life, but as the Japanese feudal system unravels, Seibei is still bound by the code of honor of the samurai and by his own sense of social precedence. How can he find a way to do what is best for those he loves?",https://image.tmdb.org/t/p/original/3cWsPgrwxEpTbJMCRXcWpxWgW11.jpg,
Captain Herlock - 2002,,,,
Needing You - 2000,https://www.themoviedb.org/movie/45418,"Wah and Kinki both working at the same department of a computer company. Both of them are not getting on very well initially, but friendship develops when they get to know each other after a while. When Wah starts to realize his emergent fondness for Kinki, his ex-girlfriend reappears and plans to gain back his affection. In addition, he notices that his ex-girlfriend arranges a guy to pair up with Kinki. At the same time, his supervisor would like to lay him off at work.",https://image.tmdb.org/t/p/original/enjH5yOV0GDFemPwqMpNDAd7Q0b.jpg,
Oh My Goddess! - 1993,,,,
The Dresser - 1983,https://www.themoviedb.org/movie/42122,"In a touring Shakespearean theater group, a backstage hand - the dresser, is devoted to the brilliant but tyrannical head of the company. He struggles to support the deteriorating star as the company struggles to carry on during the London blitz. The pathos of his backstage efforts rival the pathos in the story of Lear and the Fool that is being presented on-stage, as the situation comes to a crisis.",https://image.tmdb.org/t/p/original/zuouDoshosJEZAWzyDzEfk9dnOE.jpg,What happens backstage is always true drama. And often pure comedy.
Spider-Man: The Return of the Green Goblin - 2004,,,,
The Rise and Fall of ECW - 2004,https://www.themoviedb.org/movie/33209,"ECW: Extreme Championship Wrestling redefined professional wrestling in the '90s with a reckless, brutal, death-defying, and often bloody style that came to be known as ""hardcore."" It attracted a rabid, cult-like following that is still going strong today.",https://image.tmdb.org/t/p/original/jWixWVQs3OJwEXFEKeg525Lceal.jpg,
Elfen Lied - 2005,https://www.themoviedb.org/movie/550300,,https://image.tmdb.org/t/p/original/ceGGSFAGHmw2F7lcnlrX3DLMgsp.jpg,
Missing in Action 2: The Beginning / Missing in Action 3: Braddock - 1985,,,,
The Carol Burnett Show: Show Stoppers - 2001,,,,
Noir - 2001,,,,
The Shaft - 2001,https://www.themoviedb.org/movie/19058,"After the elevators at a New York City skyscraper begin inexplicably malfunctioning, putting its passengers at risk, mechanic Mark Newman (James Marshall) and reporter Jennifer Evans (Naomi Watts) begin separate investigations. Newman gets resistance from superiors at his company, which manufactured the elevator, while additional elevator incidents cause several gruesome deaths. The police get involved and suspect that terrorists are responsible, but a far stranger explanation looms.",https://image.tmdb.org/t/p/original/o25WdQiVIj5uMzeCBR20rq9wqBB.jpg,YOUR NEXT STOP... IS HELL.
Ah! My Goddess - 2005,,,,
Inspector Morse 31: Death Is Now My Neighbour - 1997,,,,
Richard III - 1995,https://www.themoviedb.org/movie/31174,Shakespeare's Play transplanted into a 1930s setting.,https://image.tmdb.org/t/p/original/e8nuS9GQoSFaqld4hW5erk2ccag.jpg,"I can smile, and murder while I smile"
Cat and the Canary - 1927,https://www.themoviedb.org/movie/76804,"Rich old Cyrus West's relatives are waiting for him to die so they can inherit. But he stipulates that his will be read 20 years after his death. On the appointed day his expectant heirs arrive at his brooding mansion. The will is read and it turns out that Annabelle West, the only heir with his name left, inherits, if she is deemed sane. If she isn't, the money and some diamonds go to someone else, whose name is in a sealed envelope. Before he can reveal the identity of her successor to Annabelle, Mr. Crosby, the lawyer, disappears. The first in a series of mysterious events, some of which point to Annabelle in fact being unstable.",https://image.tmdb.org/t/p/original/7Jyikud2zcQ723g8aYhHoZZ8J5Y.jpg,
The Chorus - 2004,https://www.themoviedb.org/movie/5528,"Set in 1940's France, a new teacher at a school for disruptive boys gives hope and inspiration.",https://image.tmdb.org/t/p/original/xbCYAxsSVqlpdZlBYfLYtCuUoVc.jpg,
Star Trek: Deep Space Nine: Season 5 - 1996,,,,
Leila - 2000,,,,
A Night in Casablanca - 1946,https://www.themoviedb.org/movie/26940,"The Marx Brothers are employed at a hotel in postwar Casablanca, where a ring of Nazis is trying to recover a cache of stolen treasure.",https://image.tmdb.org/t/p/original/kRCu5NoxPia4ZEDo3nFzjQ37Gl0.jpg,"100 Girls! 1,000 Scenes! 10,000 Laffs!"
Frank Lloyd Wright - 1998,,,,
City Lights - 1931,https://www.themoviedb.org/movie/901,City Lights is the first silent film that Charlie Chaplin directed after he established himself with sound accompanied films. The film is about a penniless man who falls in love with a flower girl.,https://image.tmdb.org/t/p/original/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg,True Blind Love
Princess Mononoke - 1997,https://www.themoviedb.org/movie/128,"Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",https://image.tmdb.org/t/p/original/mNqZOtJIQfFQPjo3hmYLIn8Qqhf.jpg,The Fate Of The World Rests On The Courage Of One Warrior.
Dinosaur Planet - 2003,,,,
Michael Moore's The Awful Truth: Season 2 - 2001,,,,
The Big Clock - 1948,https://www.themoviedb.org/movie/19974,"Stroud, a crime magazine's crusading editor has to post-pone a vacation with his wife, again, when a glamorous blonde is murdered and he is assigned by his publishing boss Janoth to find the killer. As the investigation proceeds to its conclusion, Stroud must try to disrupt his ordinarily brilliant investigative team as they increasingly build evidence (albeit wrong) that he is the killer.",https://image.tmdb.org/t/p/original/gHpZSDEwXtpzDY2z2oNitYo3lQV.jpg,The Strangest and Most Savage Manhunt in History!
Still - 2004,,,,
Monarch of the Glen: Series 2 - 2001,,,,
Inspector Morse 9: The Last Enemy - 1993,,,,
Homicide: Life on the Street: Season 7 - 1998,,,,
Bagdad Cafe - 1988,,,,
Music Box - 1989,https://www.themoviedb.org/movie/2263,"A lawyer defends her father accused of war crimes, but there is more to the case than she suspects.",https://image.tmdb.org/t/p/original/AvBTmNSL84zhQLsG5wH76Fe2yPk.jpg,As a lawyer all she wanted was the truth. As a daughter all she wanted was his innocence. How well do you really know your father?
